Text	Paraphrase
Tom là một học sinh trung học bỏ học.	Tom đã bỏ học trung học.
Tom bỏ học.	Tom nghỉ học.
Trường học bắt đầu vào mùa xuân.	Trường học bắt đầu vào mùa xuân.
Hãy kinh doanh.	Hãy thương lượng.
Hãy nói chuyện.	Hãy tán gẫu nào.
Chúng ta hãy trò chuyện.	Hãy để chúng tôi thảo luận.
Chúng tôi tiếp tục trò chuyện.	Chúng tôi tiếp tục nói chuyện.
Tom đang nói chuyện với Mary.	Tom đang trò chuyện với Mary.
Tom đang nói chuyện với Mary.	Tom đã nói chuyện với Mary.
Cô ấy không đến đây để bào chữa cho mình trước những lời buộc tội này.	Cô ấy không ở đây với mục đích tự bảo vệ mình trước những lời buộc tội này.
Cô ấy rất thích bản thân mình tại bữa tiệc ngày hôm qua.	Cô ấy đã có rất nhiều niềm vui tại bữa tiệc ngày hôm qua.
Cô cải trang trong quần áo nam giới.	Cô cải trang thành anh.
Cô ấy làm cho mình được biết đến với công ty.	Cô giới thiệu mình với những người có mặt ở đó.
Điều cần thiết là cô ấy nên tự mình đi.	Nó là cần thiết để cô ấy tự đi.
Đứa trẻ khóc cho đến khi ngủ.	Đứa bé tự khóc khi ngủ.
Cô dọn dẹp nhà cửa một mình.	Cô dọn dẹp tất cả các nhà một mình.
Cô tận dụng mọi cơ hội.	Cô tận dụng mọi cơ hội.
Cô nhốt mình trong phòng.	Cô nhốt mình trong phòng ngủ.
Tôi đang uống bia ngay bây giờ.	Tôi đang uống bia.
Tôi đang uống bia của anh ấy.	Tôi uống bia của anh ấy.
Tôi uống nước trái cây.	Tôi đang uống nước trái cây.
Tôi uống trà không đường.	Tôi uống trà không đường.
Cho tôi thêm chút trà được không?	Tôi có thể uống thêm trà không?
Uống chút cà phê.	Họ uống cà phê.
Anh ấy uống cà-fê.	Cô ấy uống cà phê.
Tom uống rượu.	Tom đang uống rượu.
Họ uống coca.	Họ uống cola.
Tôi làm một mình.	Tôi đang làm việc một mình.
Anh ấy làm việc vào Chủ Nhật.	Anh ấy làm việc vào Chủ Nhật.
Làm việc chậm rãi.	Cô ấy làm việc chậm rãi.
Tom làm công việc xây dựng.	Tom làm việc trong lĩnh vực xây dựng.
Chúng tôi làm việc theo ngày.	Chúng tôi làm việc hàng ngày.
Tom viết tốt.	Tom giỏi viết lách.
Tom đi học.	Tom đang trên đường đến trường.
Tom đi học buổi tối.	Tom đã đi học buổi tối.
Chúng tôi đến đó thường xuyên.	Chúng tôi thường đến đó.
Anh ấy đang chơi ở đó.	Anh chơi ở đó.
Tom đang chơi Pacman.	Tom đóng vai Pacman.
Chúng tôi chơi bóng chày.	Chúng tôi chơi bóng chày.
Đọc cái này ngay bây giờ.	Đọc này ngay lập tức.
Tôi thích đọc hơn.	Tôi thà đọc.
Bạn đã từng đọc tiểu thuyết.	Tom đọc tiểu thuyết.
Đọc cái này vào buổi tối!	Đọc này tối nay.
Nhiệt kế đọc 10C.	Nhiệt kế chỉ 10 độ.
Tom đã uống một ít sữa.	Tom uống sữa.
Đun sôi nước.	Đun sôi nước.
Đun sôi nước.	Làm ấm một ít nước.
Đun nước cho đến khi sôi.	Đun sôi nước.
Uống chút nước.	Bạn phải uống nước.
Voi uống nước.	Những chú voi đang uống nước.
Mắt tôi đang chảy nước.	Mắt tôi ngấn nước.
Nước đây.	Đây là một ít nước.
Chúng tôi có đủ nước.	Chúng tôi có đủ nước.
Tôi đến lấy nước.	Tôi lấy nước.
Nước của nguồn cung cấp nước là nguy hiểm.	Nước máy rất nguy hiểm.
Nước lạnh như băng.	Nước đóng băng.
Các cổ phiếu đã đi xuống qua đêm.	Các cổ phiếu sụp đổ qua đêm.
Các cổ phiếu đã đi xuống qua đêm.	Các cổ phiếu giảm giá trị qua đêm.
Nhà kho cũ đổ sập.	Chuồng cũ bị sập.
Nhà kho đang cháy.	Nhà kho đang cháy!
Qua cầu.	Đi bộ qua cầu.
Cây cầu đã đóng cửa.	Cây cầu bị chặn.
Bạn mượn sách.	Bạn mượn một cuốn sách.
Chọn một cuốn sách một cách cẩn thận.	Chọn sách cẩn thận.
Em thật đẹp, tình yêu của anh, thật đẹp!	Kìa em xinh đẹp, Hỡi tình yêu của anh, kìa em xinh đẹp!
Luân phiên.	Thay phiên nhau.
Băng qua đường.	Qua đường.
Văn hóa hủy diệt ngôn ngữ.	Văn hóa hủy diệt ngôn ngữ.
Trận động đất đã phá hủy mọi thứ.	Trận động đất đã phá hủy mọi thứ.
Cừu ăn cỏ.	Cừu ăn cỏ.
Chúng tôi có mười con gia súc.	Chúng tôi có mười đầu gia súc.
Thù hận sinh ra thù hận.	Ghét sinh ra ghét.
Cô mua một con gà.	Cô mua gà.
Vâng, cơ hội béo bở!	Sự đen đủi, sự không may.
Bạn có thừa cân không?	Bạn có béo không?
Họ sợ bạn.	Họ sợ bạn.
Luộc những củ khoai tây đó.	Nấu khoai tây!
Bỏ chai.	Buông chai.
Rượu là thơ đầy trong chai.	Rượu là thơ đựng trong bình.
Rượu là thơ đóng chai.	Rượu là một bài thơ trong chai.
Anh mở nút chai.	Anh nhả nút chai.
Chúc mừng ngày lễ tạ ơn.	Lễ tạ ơn vui vẻ!
Một ngày nữa trôi qua.	Một ngày nữa trôi qua.
Làm ơn cho một ly bia nữa.	Làm ơn cho thêm một cốc bia!
Giúp mình để nhiều cookie hơn.	Có một cookie khác.
Này, đẹp trai đấy!	Chào người đẹp!
Xin chào người đẹp của tôi!	Xin chào, tuyệt đẹp.
Một ly bia, làm ơn.	Làm ơn cho một cốc bia!
Tôi có thể lấy bia không?	Làm ơn cho tôi một cốc bia!
Tôi thích bia.	Tôi thích bia.
Tôi không bao giờ chạm vào bia.	Tôi không bao giờ uống bia.
Còn cho ngày mai thì sao?	Ngày mai thì sao?
Không ai hỏi.	Không có câu hỏi nào được đặt ra.
Hỏi bất cứ ai.	Hỏi bất cứ ai.
Không quan trọng là ai, chỉ cần hỏi ai đó.	Hãy hỏi bất kỳ người phụ nữ nào.
Chà, hỏi đi!	Đi trước và hỏi.
Hỏi họ.	Hỏi anh ấy.
Ai muốn cookie?	Ai muốn bánh quy?
Cô nướng bánh quy.	Cô nướng bánh quy.
Có một cái bánh quy.	Lấy một chiếc bánh quy.
Không còn bánh quy nữa!	Không còn bánh quy nữa!
Cô nướng bánh hạnh nhân.	Cô ấy nướng một số bánh hạnh nhân sô cô la.
Tôi thích làm bánh.	Tôi thích cái nóng.
Tôi thích nấu ăn.	Tôi thích nấu ăn.
Tôi thích nấu ăn.	Tôi thích nấu nướng.
Tôi thích bánh mì.	Tôi yêu bánh mì.
Anh sẽ đến sau.	Anh ấy sẽ đến sau.
Tôi mua băng.	Tôi sẽ mua một cuộn băng.
Nhà máy này sản xuất đầu đĩa CD.	Nhà máy này sản xuất đầu đĩa CD.
Tom thuộc về nơi này.	Tom đến từ đây.
Chúng ta thuộc về nhau.	Chúng ta đã có nhau.
Chỗ của tôi là ở đây.	Đây là chỗ của tôi.
Tôi thuộc về đây.	Tôi sở hữu nơi này.
Đây là chỗ ngồi của tôi.	Đây là vị trí của tôi.
Đó là nơi tôi thuộc về.	Đó là ghế của tôi.
Nơi này là của tôi.	Đó là chỗ ngồi của tôi.
Ai đó đã lấy cắp đồ đạc của tôi.	Ai đó đã lấy trộm đồ của tôi.
Bạn có thích rạp xiếc Bungari không?	Bạn có thích rạp xiếc Bungari không?
Rạp xiếc đã giải trí cho chúng tôi rất nhiều.	Chúng tôi thực sự rất thích xem xiếc.
Rạp xiếc đã đến thị trấn.	Một rạp xiếc đang đến thăm thị trấn.
Chúng tôi rất thích xem một cuộc diễu hành xiếc.	Chúng tôi rất thích xem cuộc diễu hành xiếc.
Di chuyển cùng, xin vui lòng.	Xin vui lòng di chuyển cùng.
Nhanh lên con!	Nhanh lên nào cô gái!
Chỉ cần tìm thấy anh ta.	Chỉ cần tìm thấy cô ấy.
Đi tìm họ.	Đi và tìm thấy chúng.
Đi tìm anh ấy.	Đi tìm cô ấy.
Đi và tìm anh ấy.	Đi và tìm cô ấy.
Bạn có biết Tom?	Bạn đã tìm thấy Tom?
Bạn đã gặp Tom?	Bạn đã tìm thấy Tom chưa?
Bạn đã gặp Tom chưa?	Bạn đã bao giờ gặp Tom chưa?
Các bạn có biết Tom không?	Bạn có tình cờ biết Tom không?
Bạn đã bao giờ gặp Tom chưa?	Bạn đã gặp Tom chưa?
Hãy cùng tìm hiểu.	Hãy đi tìm hiểu.
Tom sẽ tìm thấy Mary.	Tom sẽ đi tìm Mary.
Tom sẽ tìm thấy ai đó.	Tom sẽ tìm thấy ai đó.
Tom sẽ tìm thấy chúng ta.	Tom sẽ tìm thấy chúng ta.
Chúng ta sẽ tìm thấy Tom.	Chúng ta sẽ tìm Tom.
Họ sẽ tìm thấy chúng ta.	Họ sẽ tìm thấy chúng ta.
Tôi đang tìm một người.	Tôi sẽ tìm ai đó.
Tôi sẽ tìm ai đó.	Tôi đang tìm ai đó.
Tom đã tìm thấy bạn?	Tom đã tìm thấy nó?
Tom có ​​tìm thấy cô ấy không?	Tom có ​​tìm thấy chúng không?
Tôi có thể tìm thấy chúng.	Tôi có thể tìm thấy chúng.
Tôi tìm thấy một cái gì đó.	Tôi đã tìm thấy một cái gì đó.
Tôi đã tìm thấy một cái gì đó.	Tôi đang làm gì đó.
Tôi thấy điều đó thật hấp dẫn.	Tôi thấy điều đó thật hấp dẫn.
Tìm cho mình một chỗ ngồi.	Tìm cho mình một chỗ ngồi.
Tôi sẽ có thể tìm thấy nó?	Tôi có thể tìm thấy cái đó không?
Chúng ta phải tìm Tom.	Chúng ta phải tìm Tom.
Bạn đã tìm ra nó chưa?	Bạn đã tìm thấy chúng chưa?
Bạn đã tìm thấy anh ta?	Bạn đã tìm thấy cô ấy?
Bạn có tìm thấy họ không?	Bạn có tìm thấy anh ta không?
Họ đã tìm thấy nó?	Họ đã bao giờ tìm thấy anh ta?
Hãy tìm anh ta.	Hãy tìm cô ấy.
Giúp tôi tìm anh ấy.	Giúp tôi tìm cô ấy.
Tôi thấy điều này khó hiểu.	Tôi thấy điều này khó hiểu.
Rất khó để tìm được việc làm.	Để tìm một công việc là khó khăn.
Tom đã tìm thấy gì?	Tom đã tìm thấy gì?
Tôi sẽ tìm sách ở đâu?	Tôi có thể mua sách ở đâu?
Bạn có thể mua sách ở đâu?	Người ta có thể mua sách ở đâu?
Tôi đã có thể tìm ra địa chỉ của anh ấy.	Tôi có thể tìm thấy địa chỉ của anh ấy.
Làm thế nào bạn tìm thấy tôi?	Làm thế nào các bạn tìm thấy tôi?
Có lẽ chúng ta sẽ tìm thấy nó.	Có lẽ chúng ta sẽ tìm thấy nó.
Làm thế nào để chúng tôi tìm thấy nó?	Làm thế nào chúng ta sẽ tìm thấy anh ta?
Bạn có thể tìm thấy điều này thú vị.	Điều này có thể bạn quan tâm.
Khi nào bạn phát hiện ra?	Khi nào bạn biết?
Tom không thể tìm thấy Mary.	Tom đã không thể tìm thấy Mary.
Làm thế nào bạn tìm thấy chúng tôi?	Làm thế nào mà bạn từng tìm thấy chúng tôi?
Bạn đã tìm thấy Tom ở đâu?	Bạn đã bao giờ tìm thấy Tom ở đâu?
Tôi có thể tìm Tom ở đâu?	Tôi có thể gặp Tom ở đâu?
Tôi không thể tìm thấy nó.	Tôi đã không tìm thấy nó.
Tôi không thể tìm thấy nó.	Tôi không thể nắm bắt được anh ta.
Tôi đã không tìm thấy anh ta.	Tôi đã không tìm thấy cô ấy.
Tôi không thể tìm thấy anh ta.	Tôi không thể tìm thấy cô ấy.
Tom sẽ không phát hiện ra.	Tom sẽ không biết đâu.
Tôi không tìm thấy Tom.	Tôi không thể tìm thấy Tom.
Tôi không thể nhận ra Tom.	Tôi đã không thể nắm được Tom.
Hãy đi gặp Tom.	Hãy đến thăm Tom.
Hãy đi và tìm Tom.	Hãy đến thăm Tom.
Hãy đi tìm Tom.	Hãy đi gặp Tom.
Họ không tìm thấy Tom.	Họ đã không tìm thấy Tom.
Họ sẽ không tìm thấy bạn.	Họ sẽ không tìm thấy cô ấy.
Họ sẽ không tìm thấy nó.	Họ sẽ không tìm thấy anh ta.
Họ đã không tìm thấy nó.	Họ đã không tìm thấy anh ta.
Họ chưa tìm thấy cô ấy.	Họ đã không tìm thấy anh ta.
Tôi không thể tìm thấy một điều.	Tôi không thể tìm thấy bất cứ điều gì.
Bạn có nghĩ rằng Mary là hấp dẫn?	Bạn có thấy Mary hấp dẫn không?
Đừng tìm lỗi với tôi nữa!	Đừng bắt nạt tôi nữa.
Ngày mai tôi sẽ biết.	Tôi sẽ biết vào ngày mai.
Tôi đã cố gắng tìm Tom.	Tôi đã cố gắng tìm Tom.
Tom không thể tìm được việc làm.	Tom không tìm được việc làm.
Tom không thể kiếm được việc làm.	Tom đã không thành công trong việc tìm kiếm một công việc.
Tôi sẽ kiếm một công việc khác.	Tôi sẽ tìm một công việc khác.
Bạn đã tìm thấy một giải pháp?	Bạn đã tìm thấy một giải pháp?
Làm thế nào tôi có thể tìm thấy Tom?	Làm thế nào tôi có thể nắm giữ Tom?
Bạn có thấy tôi hấp dẫn không?	Bạn có nghĩ rằng tôi hấp dẫn không?
Bạn có nghĩ rằng cô ấy hấp dẫn?	Bạn có nghĩ rằng cô ấy hấp dẫn?
Chúng ta sẽ không bao giờ tìm thấy Tom.	Chúng ta sẽ không bao giờ tìm thấy Tom.
Chúng tôi đã không tìm thấy nó.	Chúng tôi không thể tìm thấy nó.
Chúng tôi đã không tìm thấy anh ta.	Chúng tôi đã không tìm thấy cô ấy.
Chúng tôi đã không tìm thấy anh ta.	Chúng tôi đã không tìm thấy nó.
Bạn sẽ không bao giờ tìm thấy nó.	Bạn sẽ không bao giờ tìm thấy nó.
Bạn có thể thấy điều này hữu ích.	Bạn có thể thấy nó hữu ích.
Làm thế nào để chúng ta tìm thấy Tom?	Làm thế nào chúng ta sẽ tìm thấy Tom?
Làm thế nào mà họ biết?	Làm thế nào mà họ tìm ra?
Tìm thấy bất cứ điều gì thú vị?	Bạn có tìm thấy bất cứ điều gì thú vị?
Bạn đã tìm thấy một cái gì đó thú vị?	Bạn đã tìm thấy bất cứ điều gì quan tâm?
Tôi phải biết.	Tôi cần biết.
Tôi phải biết.	Tôi phải biết.
Tôi nên biết điều đó.	Tôi cần tìm hiểu.
Bạn có nghĩ rằng điều này là thú vị?	Bạn có thấy điều đó thú vị không?
Giữ mắt của bạn trên đường.	Quan sát đường đi.
Chú ý trên đường.	Hãy chú ý đến con đường.
Đường phố bị hư hỏng.	Con đường bị hư hỏng.
Những con đường bẩn thỉu.	Những con đường không sạch sẽ.
Đường phố trơn trượt.	Con đường trơn trượt.
Có sương trên đường.	Con đường băng giá.
Phát phần thưởng.	Xuống đường.
Đường lên đây thoai thoải.	Con đường ở đây dốc lên một chút.
Con phố chạy dọc bờ sông.	Con đường song song với dòng sông.
Con đường chạy song song với dòng sông.	Con đường men theo dòng sông.
Hai con đường tham gia ở đây.	Hai con đường giao nhau ở đó.
Đá rơi chặn đường.	Con đường bị chặn bởi đá rơi.
Giao thông bận rộn ở đây.	Các con đường ở đây bị tắc nghẽn.
Cô ấy đã đi về phía đó.	Cô ấy đã đi xuống con đường đó.
Các cánh cửa mở ra.	Các cửa đã được mở.
Đẩy cửa ra.	Bạn có thể đẩy cửa ra không?
Cửa tự động khóa.	Những cánh cửa tự động đóng lại.
Các cửa tự động khóa.	Cửa tự động đóng lại.
Ai đó đã mở cửa.	Ai đó đã mở khóa cửa.
Bạn đang buồn chán?	Bạn có thấy chán không?
Bạn thích mạo hiểm.	Bạn đang đòi hỏi.
Tom là người thích phiêu lưu.	Tom thích phiêu lưu.
Đây là một khu phố bạo lực.	Khu phố này là bạo lực.
Tom trở nên lạm dụng.	Tom trở nên bạo lực.
Một người nào đó.	Bạn là một người bạn!
Kìa Người.	Thật là một người đàn ông!
Cho ví dụ.	Nêu gương, lam mâu mực.
Một nơi nào đó.	Nơi sang trọng!
Hãy nỗ lực nhiều hơn nữa.	Cố gắng hơn nữa.
Bạn biết gì không?	Bạn biết gì?
Tôi có một điều thú vị để nói với bạn rằng bạn có thể thấy ngạc nhiên.	Bạn có biết bất cứ điều gì?
Vẫn còn trên Lookout.	Tiếp tục lắng nghe.
Đến từ Ấn Độ.	Anh ấy đến từ Ấn Độ.
Thẩm phán ở đâu?	Thẩm phán đâu?
Hãy cảm nhận điều này.	Mùi này.
Tom trông trẻ.	Tom trông trẻ trung.
Tom trông trẻ trung.	Tom có ​​vẻ trẻ.
Anh ấy tỏ ra trung thực.	Anh tỏ ra chân thành.
Tôi đã đi câu cá.	Đã đi câu cá
Một số cá bay.	Ngoài ra còn có cá bay.
Không ai quan tâm.	Không ai gọi.
Nhiệm vụ gọi.	Nhiệm vụ kêu gọi tôi.
Ai đã gọi cảnh sát?	Ai đã gọi cảnh sát?
Gọi cho Tom ngay.	Gọi cho Tom ngay lập tức.
Mẹ anh gọi anh.	Mẹ cô gọi cho cô.
Một số dịch trong khi những người khác gièm pha.	Có người dịch và có người gọi tên nhau.
Chúng tôi đã có thể kêu gọi sự giúp đỡ.	Chúng tôi có thể đã kêu gọi giúp đỡ.
Tôi sẽ gọi xe cấp cứu.	Tôi sẽ gọi xe cấp cứu.
Anh hủy bỏ chuyến đi.	Anh ấy đã hủy bỏ chuyến đi của mình.
Con chó của Tom tên gì?	Con chó của Tom được gọi là gì?
Đó là cuộc gọi của bạn, Tom.	Tùy anh thôi, Tom.
Tôi sẽ lấy anh ta cho bạn.	Tôi sẽ lấy cô ấy cho bạn.
Có thể nói, anh ấy là một cuốn bách khoa toàn thư biết đi.	Anh ấy, như họ nói, một cuốn bách khoa toàn thư biết đi.
Chung tôi se gọi bạn.	Chúng tôi sẽ gọi cho bạn.
Chúng tôi sẽ tìm kiếm nó.	Chúng tôi sẽ gọi cho cô ấy.
Gọi nếu bạn cần tôi.	Nếu bạn cần tôi, gọi cho tôi.
Tôi sẽ gọi nếu tôi học được bất cứ điều gì.	Tôi sẽ gọi nếu tôi nghe thấy bất cứ điều gì.
Hãy nói với anh ấy rằng tôi đã gọi.	Hãy nói với cô ấy rằng tôi đã gọi.
Chúng ta có thể gọi miễn phí vào cuối tuần.	Cuối tuần này chúng ta có thể gọi điện thoại miễn phí.
Anh gọi cho cô mỗi ngày.	Cô gọi cho anh mỗi ngày.
Kế hoạch điện thoại của tôi không bao gồm các cuộc gọi thu tiền.	Gói điện thoại của tôi không chấp nhận các cuộc gọi tính phí ngược.
Ông gọi tôi là một cậu bé ngu ngốc.	Một cậu bé ngốc nghếch đã gọi cho tôi.
Yên nghỉ nhé cha!	Hãy để mặt đất là len cho bạn, cha!
Xin Chúa thương xót ông.	Xin Chúa thương xót ông.
Tôi nhìn lên mặt trăng.	Tôi nhìn mặt trăng.
Bạn dường như thực sự bận rộn.	Bạn có vẻ thực sự bận rộn.
Bạn có vẻ rất sợ hãi.	Bạn có vẻ rất sợ hãi.
Bạn có vẻ rất buồn ngủ.	Bạn trông rất buồn ngủ.
Trông bạn có vẻ sợ hãi.	Bạn trông sợ hãi.
Bạn nghe có vẻ sợ hãi.	Bạn nghe có vẻ sợ hãi.
Bạn vẫn có vẻ tức giận.	Bạn vẫn trông giận dữ.
Bạn vẫn có vẻ khó chịu.	Bạn vẫn có vẻ khó chịu.
Nó không phải là dễ dàng để làm.	Làm được điều đó không dễ chút nào.
Tôi có thể đã chết ngày hôm nay.	Tôi có thể đã chết ngày hôm nay.
"Anh ấy nói với tôi, ""nguy hiểm!"""	"Anh ấy nói với tôi, ""Nguy hiểm!"""
Cô gọi điện thoại cho anh.	Cô gọi cho anh.
Anh gọi cho anh.	Anh đặt tên cho nó.
Con mèo đang tắm nắng.	Con mèo tự phơi nắng.
Tomcat tắm nắng.	Con mèo đực phơi nắng.
Chúng tôi giữ im lặng.	Chúng tôi vẫn im lặng.
Tom có ​​thỏ.	Tom có ​​một con thỏ.
Đó là một ngôi làng	Đây là một ngôi làng.
Cô ấy là chiếc xe đạp của làng.	Cô ấy là đĩ địa phương.
Trường của chúng tôi đứng trong làng.	Trường học của chúng tôi ở trong làng này.
Mọi người sống trong làng.	Mọi người từng sống trong làng.
Nhà tôi ở trong nước.	Nhà tôi ở trong một làng.
Người đàn ông nổi tiếng khắp làng.	Cả làng đều biết rõ về người đàn ông đó.
Có năm mươi gia đình trong ngôi làng này.	Năm mươi gia đình sống trong ngôi làng nhỏ bé này.
Ngọn lửa biến cả ngôi làng thành tro bụi.	Ngọn lửa thiêu rụi cả ngôi làng.
Tôi đã đến thăm ngôi làng nơi anh ấy sinh ra.	Tôi đã đến thăm ngôi làng nơi anh ấy sinh ra.
Ngày xưa có một nông dân nghèo trong làng.	Vào một thời điểm khác, có những người nông dân nghèo ở ngôi làng đó.
Mấy đứa trong làng cười nhạo tôi.	Những cậu bé Hillbilly đã cười nhạo tôi.
Xe của anh ấy bị hỏng ở vùng quê xa xôi.	Chiếc xe bị hỏng ở một ngôi làng xa xôi nào đó.
Thị trấn nơi tôi sống khá nhỏ.	Thị trấn nơi tôi sống khá nhỏ.
Một ngày nọ, những người đàn ông đến làng của anh ta.	Một ngày nọ, những người đó đến làng của anh ấy.
Ước mơ của tôi là được sống yên bình ở làng quê.	Tôi mơ về một cuộc sống bình lặng nơi đất nước.
Trường làng của chúng tôi không có giáo viên dạy tiếng Đức.	Ở trường làng của chúng tôi, không có giáo viên dạy tiếng Đức.
Ngôi làng được kết nối với thị trấn của chúng tôi bằng một cây cầu.	Ngôi làng được kết nối với thành phố của chúng tôi bằng một cây cầu.
Người ta nói rằng cảnh quan nông thôn của Nhật Bản đã thay đổi rất nhiều.	Người ta nói rằng các làng nông thôn Nhật Bản đã thay đổi rất nhiều.
Họ củng cố các bờ bao để bảo vệ ngôi làng khỏi lũ lụt.	Họ củng cố các con đê để bảo vệ ngôi làng khỏi lũ lụt.
Hầu hết những người nông dân sống trong ngôi làng hoang vắng này đều mù chữ.	Phần lớn nông dân sống trong ngôi làng hoang vắng này không biết đọc, không biết viết.
Tôi chắc rằng cô ấy đã đến làng vào lúc này.	Tôi chắc chắn rằng cô ấy đã đến làng bây giờ.
Ngôi làng nằm ở ranh giới giữa miền biển và miền núi.	Thành phố nằm trên ranh giới của khu vực ven biển và vùng cao lân cận.
Trong một thị trấn, bạn có thể không bị chú ý, trong khi ở một ngôi làng thì điều đó là không thể.	Bạn có thể vượt qua mà không bị chú ý trong một thành phố, nhưng trong một ngôi làng thì điều đó là không thể.
Tôi sẽ mang đến cho bạn cập nhật với tin tức quê hương.	Tôi sẽ cập nhật cho bạn những tin tức mới nhất từ ​​​​làng.
Mọi người chờ đợi.	Mọi người chờ đợi.
Tôi cảm thấy bồn chồn khi phải đợi quá lâu để bạn tôi xuất hiện.	Chờ đợi một thời gian dài cho một người bạn khiến tôi lo lắng.
Tôi lo lắng khi chờ đợi một người bạn trong một thời gian dài.	Nó làm đầu tôi vào, đợi một người bạn lâu lắm rồi.
Tất cả họ đều tìm kiếm đứa trẻ bị lạc.	Tất cả họ đều tìm kiếm đứa trẻ mất tích.
Bạn biết những gì sai với bạn?	Bạn có biết những gì bạn đang thiếu?
Tất cả học sinh trong lớp đều thích cô Smith.	Tất cả học sinh trong lớp đều thích ông Smith.
Tôi nhớ mẹ tôi rất nhiều.	Tôi thực sự nhớ mẹ tôi.
Cô nhớ anh rất nhiều.	Cô nhớ anh da diết.
Tôi bịa ra một cái cớ để bỏ lỡ bữa tiệc.	Tôi bịa ra một cái cớ để bỏ lỡ bữa tiệc.
Cái mũ nào là của bạn?	Chiếc mũ nào là của bạn?
Đừng cau mày nữa!	Đừng cau mày nữa!
Đừng bĩu môi nữa!	Đừng hờn dỗi nữa!
Đừng làm bộ mặt đó nữa.	Ngừng cau có.
Bạn có bị đau đầu không?	Đầu của bạn có đau không?
Bạn có bị đau đầu không?	Bạn có đau đầu không?
Máy tính mới của bạn có chạy tốt không?	Máy tính mới của bạn có hoạt động tốt không?
Khi nào nhiệm vụ của bạn sẽ được hoàn thành?	Khi nào bài tập về nhà của bạn sẽ được hoàn thành?
Tôi chắc chắn sẽ đến đám tang của bạn.	Tôi chắc chắn sẽ tham dự tang lễ của bạn.
Bất cứ điều gì bạn nói với anh ấy đều khiến anh ấy cảm thấy tốt hơn.	Lời nói của bạn làm anh ấy cảm thấy tốt hơn nhiều.
Tôi hoàn toàn tức giận về chiếc váy trong suốt của bạn.	Chiếc váy xuyên thấu của bạn thực sự kích thích tôi.
Bạn có quầng thâm dưới mắt.	Bạn đã có túi dưới mắt của bạn.
Vì vậy, bạn đã có mái tóc trên ngực của bạn sau khi tất cả.	Vì vậy, sau tất cả, bạn là một người đàn ông.
Tốt nhất là tránh xa anh ta ra.	Hãy cẩn thận. Anh ta không phải là người dễ bị lừa.
Bạn không thể lấp đầy dạ dày của mình với thức ăn còn sót lại trên bộ râu của mình.	Thật vô nghĩa khi theo đuổi những lợi ích nhỏ.
Đôi mắt của bạn đang nói dối.	Cái nhìn của bạn phản bội bạn.
Bạn thực sự là một cái gì đó.	Bạn thực sự là một cái gì đó.
Bạn đang nói như Eco.	Bạn nghe như Eco.
Bạn đã đi ra ngoài à?	Các bạn đã đi ra ngoài?
Bạn lí giải thế nào về việc đó?	Làm thế nào để bạn giải thích điều này?
Bạn nên mua cuốn sách đó.	Bạn nên mua cuốn sách này.
Ken đã tìm kiếm bạn.	Ken đang tìm bạn.
Anh cũng độc thân à?	Bạn cũng là cử nhân à?
Bạn cũng đến từ Kashgar?	Bạn cũng đến từ Kashgar phải không?
Đó là yêu cầu quá nhiều.	Bạn đang yêu cầu quá nhiều.
Bạn có rảnh vào thứ ba không?	Bạn có thời gian vào thứ ba không?
Bạn muốn nhận được một đánh bại?	Bạn muốn bị đánh đập?
Bạn sở hữu bao nhiêu chiếc mũ?	Bạn có bao nhiêu mũ?
Tôi nghĩ rằng đó là bạn.	Tôi nghĩ đó là cô ấy.
Bạn đã học thuộc lòng số chưa?	Bạn đã ghi nhớ dãy số này chưa?
Bạn là người có đầu óc mạnh mẽ.	Bạn đang rõ ràng.
Bạn là người quyết đoán.	Bạn có tài hùng biện.
Bạn tràn đầy năng lượng.	Bạn có ý chí.
Bạn có rất nhiều ý chí.	Bạn có một ý chí mạnh mẽ.
Bạn biết điều đó là không đúng.	Bạn biết đó không phải là sự thật.
Bạn biết điều đó không đúng.	Bạn biết đó là một lời nói dối.
Bạn không quan tâm đến thế giới.	Bạn không có gì phải lo lắng về.
Bạn không có bất cứ điều gì phải lo lắng về.	Bạn không phải lo lắng về bất cứ điều gì.
Bạn thường nghỉ làm khi nào?	Văn phòng của bạn cho phép bạn về nhà lúc mấy giờ?
Anh ấy giàu có. Bạn nên thử nó.	Anh ấy giàu có. Bạn nên cho anh ta một thử.
Làm ơn im lặng đi!	Xin vui lòng, tôi yêu cầu bạn giữ bình tĩnh.
Đó là một chiếc mũ quá nhỏ đối với bạn.	Chiếc mũ này quá nhỏ đối với bạn.
Tôi đã nghĩ về bạn rất nhiều.	Tôi đã nghĩ về bạn rất nhiều.
Nói to hơn để mọi người có thể nghe thấy bạn.	Nói to hơn để mọi người có thể nghe thấy bạn.
Bạn muốn xem một bộ phim Pháp phải không?	Bạn muốn xem một bộ phim Pháp phải không?
Bạn có thực sự muốn xem một bộ phim Pháp?	Bạn muốn xem một bộ phim Pháp, phải không?
Nếu bạn cần bất cứ điều gì, chỉ cần cho tôi một holla.	Gọi cho tôi nếu bạn cần bất cứ điều gì.
Nhanh lên, và bạn sẽ bắt xe buýt.	Bạn sẽ bắt xe buýt nếu bạn vội vàng.
Tony nói tiếng Anh tốt như bạn.	Tony có thể nói tiếng Anh tốt như bạn có thể.
